condition,i,j,cosine
sparse,2,5,0.6749987602233887
sparse,2,6,0.6325478553771973
sparse,2,7,0.6438075304031372
sparse,2,8,0.12805497646331787
sparse,2,9,0.6253858804702759
sparse,2,10,0.6222285628318787
sparse,2,11,0.12805497646331787
sparse,2,12,0.6787729263305664
sparse,2,13,0.5641254186630249
sparse,2,14,0.7593506574630737
sparse,2,15,0.6513075828552246
sparse,2,16,0.6267611384391785
sparse,2,17,0.637053370475769
sparse,2,18,0.765704333782196
sparse,2,19,0.6455700397491455
sparse,2,20,0.6371598839759827
sparse,2,21,0.622263491153717
sparse,2,22,0.6366736888885498
sparse,2,23,0.6170547008514404
sparse,2,24,0.12805497646331787
sparse,2,25,0.664868950843811
sparse,2,26,0.6076259613037109
sparse,2,27,0.6688461899757385
sparse,2,28,0.618023693561554
sparse,2,29,0.6739404201507568
sparse,3,4,0.08369266986846924
sparse,3,5,0.8813446760177612
sparse,3,6,0.9259478449821472
sparse,3,7,0.8134849667549133
sparse,3,8,0.08369266986846924
sparse,3,9,0.8928148746490479
sparse,3,10,0.8882907032966614
sparse,3,11,0.08369266986846924
sparse,3,12,0.8949351906776428
sparse,3,13,0.876740038394928
sparse,3,14,0.827580451965332
sparse,3,15,0.8937259912490845
sparse,3,16,0.9206740856170654
sparse,3,17,0.9161496162414551
sparse,3,18,0.6427357196807861
sparse,3,19,0.9205661416053772
sparse,3,20,0.8657746911048889
sparse,3,21,0.9146169424057007
sparse,3,22,0.8927810192108154
sparse,3,23,0.9238543510437012
sparse,3,24,0.08369266986846924
sparse,3,25,0.9023967385292053
sparse,3,26,0.8833497762680054
sparse,3,27,0.9054620265960693
sparse,3,28,0.9394410848617554
sparse,3,29,0.8542181849479675
sparse,4,5,0.1370055228471756
sparse,4,6,0.10848750174045563
sparse,4,7,0.1177099347114563
sparse,4,8,1.000000238418579
sparse,4,9,0.10115122050046921
sparse,4,10,0.0888502448797226
sparse,4,11,1.000000238418579
sparse,4,12,0.11026038229465485
sparse,4,13,0.0411575585603714
sparse,4,14,0.10040321201086044
sparse,4,15,0.0689639151096344
sparse,4,16,0.10801630467176437
sparse,4,17,0.08226725459098816
sparse,4,18,0.08057644963264465
sparse,4,19,0.04744820296764374
sparse,4,20,0.09150318801403046
sparse,4,21,0.11701734364032745
sparse,4,22,0.11943024396896362
sparse,4,23,0.10557190328836441
sparse,4,24,1.000000238418579
sparse,4,25,0.11746442317962646
sparse,4,26,0.10101272910833359
sparse,4,27,0.11939298361539841
sparse,4,28,0.08108936250209808
sparse,4,29,0.14297153055667877
sparse,5,6,0.8967223763465881
sparse,5,7,0.8786805868148804
sparse,5,8,0.1370055228471756
sparse,5,9,0.9054062962532043
sparse,5,10,0.8814722299575806
sparse,5,11,0.1370055228471756
sparse,5,12,0.9214913249015808
sparse,5,13,0.826805591583252
sparse,5,14,0.8557681441307068
sparse,5,15,0.9166865348815918
sparse,5,16,0.9044321775436401
sparse,5,17,0.9051838517189026
sparse,5,18,0.6461119651794434
sparse,5,19,0.9035420417785645
sparse,5,20,0.8600203990936279
sparse,5,21,0.8979537487030029
sparse,5,22,0.9018140435218811
sparse,5,23,0.8904030323028564
sparse,5,24,0.1370055228471756
sparse,5,25,0.9132136702537537
sparse,5,26,0.8843981623649597
sparse,5,27,0.9249155521392822
sparse,5,28,0.8900864720344543
sparse,5,29,0.9152655601501465
sparse,6,7,0.8545248508453369
sparse,6,8,0.10848750174045563
sparse,6,9,0.9351357221603394
sparse,6,10,0.9277318716049194
sparse,6,11,0.10848750174045563
sparse,6,12,0.8937853574752808
sparse,6,13,0.8626420497894287
sparse,6,14,0.8484978675842285
sparse,6,15,0.8837481737136841
sparse,6,16,0.9403446912765503
sparse,6,17,0.9122255444526672
sparse,6,18,0.6574705839157104
sparse,6,19,0.9009672403335571
sparse,6,20,0.9067665338516235
sparse,6,21,0.9146593809127808
sparse,6,22,0.9055304527282715
sparse,6,23,0.9123460054397583
sparse,6,24,0.10848750174045563
sparse,6,25,0.8834551572799683
sparse,6,26,0.9009074568748474
sparse,6,27,0.900205671787262
sparse,6,28,0.9056134819984436
sparse,6,29,0.8740132451057434
sparse,7,8,0.1177099347114563
sparse,7,9,0.8879752159118652
sparse,7,10,0.8802921175956726
sparse,7,11,0.1177099347114563
sparse,7,12,0.8395607471466064
sparse,7,13,0.7728735208511353
sparse,7,14,0.8081755638122559
sparse,7,15,0.8507455587387085
sparse,7,16,0.8558990359306335
sparse,7,17,0.8790065050125122
sparse,7,18,0.6397870779037476
sparse,7,19,0.8266881108283997
sparse,7,20,0.8218786716461182
sparse,7,21,0.8486884832382202
sparse,7,22,0.8355493545532227
sparse,7,23,0.8576446175575256
sparse,7,24,0.1177099347114563
sparse,7,25,0.8344687819480896
sparse,7,26,0.8650765419006348
sparse,7,27,0.8290425539016724
sparse,7,28,0.8179116249084473
sparse,7,29,0.845617949962616
sparse,8,9,0.10115122050046921
sparse,8,10,0.0888502448797226
sparse,8,11,1.000000238418579
sparse,8,12,0.11026038229465485
sparse,8,13,0.0411575585603714
sparse,8,14,0.10040321201086044
sparse,8,15,0.0689639151096344
sparse,8,16,0.10801630467176437
sparse,8,17,0.08226725459098816
sparse,8,18,0.08057644963264465
sparse,8,19,0.04744820296764374
sparse,8,20,0.09150318801403046
sparse,8,21,0.11701734364032745
sparse,8,22,0.11943024396896362
sparse,8,23,0.10557190328836441
sparse,8,24,1.000000238418579
sparse,8,25,0.11746442317962646
sparse,8,26,0.10101272910833359
sparse,8,27,0.11939298361539841
sparse,8,28,0.08108936250209808
sparse,8,29,0.14297153055667877
sparse,9,10,0.9191477298736572
